"Label (Grouping)","HOUSEHOLD INCOME","HOUSEHOLD INCOME!!All households","HOUSEHOLD INCOME!!All households!!With earnings","HOUSEHOLD INCOME!!All households!!With earnings!!With wages or salary income","HOUSEHOLD INCOME!!All households!!With earnings!!With self-employment income","HOUSEHOLD INCOME!!All households!!With interest, dividends, or net rental income","HOUSEHOLD INCOME!!All households!!With Social Security income","HOUSEHOLD INCOME!!All households!!With Supplemental Security Income (SSI)","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP!!With cash public assistance","HOUSEHOLD INCOME!!All households!!With retirement income","HOUSEHOLD INCOME!!All households!!With other types of income","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!White","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Black or African American","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!American Indian and Alaska Native","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Asian","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Native Hawaiian and Other Pacific Islander","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Some other race","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino origin (of any race)","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!White alone, not Hispanic or Latino"
"        Margin of Error","","±2,118","±4.0","±4.3","±3.1","±3.2","±4.6","±1.5","±4.0","±0.8","±3.9","±3.2","","±2,137","±4.2","±6.5","±5.0","±4.7","±2.3","±0.8","","±6,703","","±5.6","±5.5","±0.8","±2.3","±0.2","±1.7","±3.5","±3.9","±5.6"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","76,149","71,336","69,484","36,938","30,825","21,348","16,994","(X)","4,322","21,543","11,286","","82,354","60,913","61,542","107,098","88,887","168,006","123,175","","28,694","","31,769","24,258","N","27,911","N","N","22,924","22,632","31,913"
"        Margin of Error","","±6,914","±7,676","±7,530","±12,330","±15,596","±2,256","±9,707","(X)","±4,972","±6,084","±3,105","","±8,416","±17,801","±10,779","±10,950","±23,127","±95,417","±32,722","","±2,171","","±3,357","±3,461","N","±6,731","N","N","±13,490","±11,771","±3,394"
"York School District 3, South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","49,163","39,392","38,880","3,478","7,956","12,567","3,073","4,578","356","11,466","6,896","","33,358","4,332","10,541","9,008","5,245","3,263","969","","124,305","","75,402","36,032","1,025","2,217","0","1,556","8,073","5,791","74,127"
"        Margin of Error","","±2,358","±2,553","±2,545","±967","±1,382","±1,398","±1,027","±1,072","±291","±1,491","±1,445","","±2,544","±1,103","±1,453","±1,636","±1,384","±1,239","±597","","±6,720","","±4,971","±4,176","±485","±1,097","±226","±1,245","±2,620","±2,457","±4,992"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","49,163","80.1%","79.1%","7.1%","16.2%","25.6%","6.3%","9.3%","0.7%","23.3%","14.0%","","33,358","13.0%","31.6%","27.0%","15.7%","9.8%","2.9%","","124,305","","60.7%","29.0%","0.8%","1.8%","0.0%","1.3%","6.5%","4.7%","59.6%"
"        Margin of Error","","±2,358","±3.0","±3.1","±1.9","±2.7","±2.7","±2.1","±2.3","±0.6","±2.9","±2.9","","±2,544","±3.2","±4.0","±4.6","±3.8","±3.5","±1.8","","±6,720","","±2.9","±2.8","±0.4","±0.9","±0.2","±1.0","±2.0","±1.9","±2.9"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","86,409","89,886","88,058","33,662","8,009","22,186","10,927","(X)","2,293","20,948","13,082","","98,725","55,969","72,330","123,803","88,724","174,431","143,090","","34,561","","39,467","24,490","20,552","34,376","N","5,536","41,104","23,638","39,376"
"        Margin of Error","","±5,954","±7,059","±6,863","±12,110","±2,792","±2,111","±1,795","(X)","±2,083","±3,107","±2,969","","±7,673","±11,161","±13,027","±9,968","±19,310","±46,707","±53,749","","±2,391","","±3,122","±2,859","±6,904","±9,998","N","±5,324","±20,302","±7,331","±3,125"
"York School District 4, South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","31,453","25,100","24,742","4,668","7,501","8,557","1,216","817","213","7,245","3,659","","23,358","N","N","N","N","N","N","","82,021","","60,723","10,191","0","4,320","0","1,136","5,651","5,021","58,893"
"        Margin of Error","","±2,005","±2,210","±2,216","±1,288","±1,614","±1,631","±714","±577","±215","±1,650","±1,205","","±2,080","N","N","N","N","N","N","","±6,167","","±5,360","±4,316","±226","±1,545","±226","±1,099","±1,928","±2,170","±5,333"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","31,453","79.8%","78.7%","14.8%","23.8%","27.2%","3.9%","2.6%","0.7%","23.0%","11.6%","","23,358","N","N","N","N","N","N","","82,021","","74.0%","12.4%","0.0%","5.3%","0.0%","1.4%","6.9%","6.1%","71.8%"
"        Margin of Error","","±2,005","±4.3","±4.4","±4.1","±5.3","±4.8","±2.3","±1.9","±0.7","±5.0","±3.7","","±2,080","N","N","N","N","N","N","","±6,167","","±5.2","±4.8","±0.3","±2.0","±0.3","±1.3","±2.3","±2.6","±5.4"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","130,311","140,941","136,316","35,321","11,264","23,293","6,344","(X)","N","26,376","20,962","","154,177","N","N","N","N","N","N","","49,811","","54,302","29,981","N","45,543","N","20,282","46,511","28,858","55,282"
"        Margin of Error","","±13,126","±16,730","±14,632","±21,443","±3,880","±3,456","±2,133","(X)","N","±7,110","±8,537","","±17,601","N","N","N","N","N","N","","±5,220","","±6,667","±9,546","N","±14,710","N","±17,305","±14,441","±8,562","±6,830"
"Sumter County Consolidated School District, South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","43,191","30,255","29,195","2,249","3,152","13,836","3,934","8,615","1,270","10,476","5,862","","27,151","4,809","9,465","8,407","2,197","1,798","475","","104,758","","46,996","46,920","171","855","350","2,696","6,770","4,668","46,423"
"        Margin of Error","","±1,244","±2,090","±2,004","±1,080","±994","±1,165","±1,154","±1,725","±670","±1,488","±1,328","","±2,182","±1,332","±1,596","±1,593","±953","±872","±470","","*****","","±458","±1,848","±218","±280","±520","±1,143","±1,734","*****","±122"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","43,191","70.0%","67.6%","5.2%","7.3%","32.0%","9.1%","19.9%","2.9%","24.3%","13.6%","","27,151","17.7%","34.9%","31.0%","8.1%","6.6%","1.7%","","104,758","","44.9%","44.8%","0.2%","0.8%","0.3%","2.6%","6.5%","4.5%","44.3%"
"        Margin of Error","","±1,244","±4.4","±4.3","±2.5","±2.3","±2.6","±2.7","±4.0","±1.5","±3.4","±3.0","","±2,182","±4.8","±5.1","±5.3","±3.3","±3.3","±1.7","","*****","","±0.4","±1.8","±0.2","±0.3","±0.5","±1.1","±1.7","*****","±0.1"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","58,925","62,247","61,561","38,237","9,499","18,341","10,409","(X)","5,087","21,818","17,410","","74,567","29,569","71,937","91,872","74,477","134,283","50,641","","25,042","","31,489","19,314","N","13,717","N","27,736","16,701","22,595","31,762"
"        Margin of Error","","±4,536","±5,070","±5,076","±14,478","±4,682","±1,849","±1,746","(X)","±2,530","±4,909","±4,977","","±6,303","±6,804","±10,418","±8,413","±20,223","±25,795","±21,084","","±1,739","","±2,967","±2,398","N","±7,175","N","±17,398","±4,255","±9,088","±3,006"
"Orangeburg County School District, South Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","32,017","19,537","18,365","2,672","3,089","13,379","2,457","6,314","1,099","7,440","3,850","","18,846","4,954","7,559","3,944","1,650","297","442","","82,962","","N","N","N","N","N","N","N","N","N"
"        Margin of Error","","±1,702","±1,803","±1,718","±954","±835","±1,105","±730","±1,403","±623","±1,239","±1,098","","±1,867","±1,243","±1,459","±903","±676","±212","±406","","*****","","N","N","N","N","N","N","N","N","N"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","32,017","61.0%","57.4%","8.3%","9.6%","41.8%","7.7%","19.7%","3.4%","23.2%","12.0%","","18,846","26.3%","40.1%","20.9%","8.8%","1.6%","2.3%","","82,962","","N","N","N","N","N","N","N","N","N"
"        Margin of Error","","±1,702","±4.2","±4.2","±2.9","±2.6","±3.2","±2.2","±4.1","±1.9","±3.6","±3.2","","±1,867","±6.0","±7.1","±4.3","±3.3","±1.1","±2.1","","*****","","N","N","N","N","N","N","N","N","N"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","51,319","60,731","61,112","24,016","5,893","17,058","9,606","(X)","3,256","18,958","10,892","","64,520","25,460","52,067","127,886","72,129","106,307","93,354","","22,934","","N","N","N","N","N","N","N","N","N"
"        Margin of Error","","±6,383","±8,237","±8,093","±14,118","±2,978","±1,344","±1,798","(X)","±1,765","±8,060","±3,799","","±8,892","±5,552","±8,760","±31,344","±12,086","±17,941","±24,648","","±2,346","","N","N","N","N","N","N","N","N","N"
"Rapid City School District 51-4, South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","42,097","32,960","31,952","4,609","11,226","15,329","2,233","4,550","1,328","9,574","6,536","","24,665","N","N","N","N","N","N","","101,337","","77,179","1,234","9,282","1,119","0","1,550","10,973","5,850","76,159"
"        Margin of Error","","±1,713","±1,646","±1,661","±1,007","±1,584","±1,568","±830","±1,124","±577","±1,408","±1,302","","±2,015","N","N","N","N","N","N","","±2,779","","±2,869","±690","±2,138","±574","±170","±975","±2,339","±769","±2,862"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","42,097","78.3%","75.9%","10.9%","26.7%","36.4%","5.3%","10.8%","3.2%","22.7%","15.5%","","24,665","N","N","N","N","N","N","","101,337","","76.2%","1.2%","9.2%","1.1%","0.0%","1.5%","10.8%","5.8%","75.2%"
"        Margin of Error","","±1,713","±2.9","±3.0","±2.3","±3.6","±3.0","±1.9","±2.6","±1.4","±3.2","±3.0","","±2,015","N","N","N","N","N","N","","±2,779","","±1.7","±0.7","±2.1","±0.6","±0.1","±1.0","±2.3","±0.8","±1.7"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","82,213","79,336","73,483","57,921","16,788","19,838","6,767","(X)","4,271","26,693","11,802","","103,893","N","N","N","N","N","N","","34,558","","38,573","29,268","13,895","N","N","55,975","21,263","32,802","38,747"
"        Margin of Error","","±6,939","±8,694","±7,612","±27,100","±4,345","±1,817","±2,793","(X)","±1,596","±4,410","±2,960","","±11,003","N","N","N","N","N","N","","±2,793","","±3,345","±30,247","±5,031","N","N","±41,884","±10,764","±16,390","±3,391"
"Sioux Falls School District 49-5, South Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","69,104","57,524","56,566","5,668","13,130","16,469","1,665","6,734","1,076","11,621","7,470","","40,215","4,343","11,406","15,750","4,384","3,102","1,230","","159,826","","124,196","12,753","4,351","3,022","239","3,825","11,440","9,681","122,907"
"        Margin of Error","","±2,152","±2,413","±2,542","±1,269","±1,946","±1,676","±673","±1,476","±448","±1,802","±1,710","","±2,267","±828","±1,926","±2,182","±1,367","±882","±496","","±3,769","","±3,615","±1,242","±1,187","±803","±348","±1,359","±1,977","±1,116","±3,512"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","69,104","83.2%","81.9%","8.2%","19.0%","23.8%","2.4%","9.7%","1.6%","16.8%","10.8%","","40,215","10.8%","28.4%","39.2%","10.9%","7.7%","3.1%","","159,826","","77.7%","8.0%","2.7%","1.9%","0.1%","2.4%","7.2%","6.1%","76.9%"
"        Margin of Error","","±2,152","±2.0","±2.3","±1.8","±2.8","±2.4","±1.0","±2.2","±0.6","±2.6","±2.5","","±2,267","±2.1","±4.5","±5.0","±3.3","±2.1","±1.2","","±3,769","","±1.2","±0.8","±0.7","±0.5","±0.2","±0.8","±1.2","±0.7","±1.1"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","90,402","90,758","88,155","41,316","15,142","21,008","11,637","(X)","3,914","31,723","11,956","","106,770","74,514","79,280","128,041","92,224","170,831","93,508","","39,579","","42,114","22,072","12,781","146,816","N","13,363","22,932","21,691","42,279"
"        Margin of Error","","±8,096","±9,342","±8,957","±17,145","±5,213","±1,261","±3,511","(X)","±1,915","±8,178","±5,366","","±10,609","±24,761","±22,231","±15,625","±39,196","±31,748","±24,456","","±3,689","","±3,729","±7,495","±6,282","±117,126","N","±3,106","±7,372","±6,383","±3,774"
"Shelby County School District, Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","297,161","231,240","223,228","23,313","29,924","79,601","21,266","58,492","5,683","53,426","28,399","","168,542","22,981","70,020","38,069","21,287","8,844","7,341","","728,230","","178,210","461,478","2,492","12,635","1,429","35,685","36,301","59,083","172,823"
"        Margin of Error","","±4,112","±4,991","±5,236","±3,309","±2,794","±3,488","±2,413","±4,401","±1,151","±3,836","±2,902","","±5,982","±2,723","±5,161","±3,366","±2,743","±1,877","±1,392","","±5,729","","±5,487","±6,790","±1,212","±2,910","±1,539","±4,579","±5,725","±1,698","±5,059"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","297,161","77.8%","75.1%","7.8%","10.1%","26.8%","7.2%","19.7%","1.9%","18.0%","9.6%","","168,542","13.6%","41.5%","22.6%","12.6%","5.2%","4.4%","","728,230","","24.5%","63.4%","0.3%","1.7%","0.2%","4.9%","5.0%","8.1%","23.7%"
"        Margin of Error","","±4,112","±1.3","±1.4","±1.1","±0.9","±1.1","±0.8","±1.4","±0.4","±1.3","±1.0","","±5,982","±1.5","±2.4","±2.0","±1.6","±1.1","±0.8","","±5,729","","±0.7","±0.9","±0.2","±0.4","±0.2","±0.6","±0.8","±0.2","±0.7"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","72,467","73,399","72,639","32,500","29,802","18,803","9,277","(X)","3,305","28,743","14,844","","88,022","41,621","68,101","132,166","88,276","158,049","109,276","","30,213","","52,542","23,975","10,284","35,725","N","11,856","17,353","16,923","52,561"
"        Margin of Error","","±3,187","±3,320","±3,371","±10,147","±9,962","±801","±550","(X)","±942","±5,225","±2,100","","±5,172","±7,360","±7,434","±10,625","±17,890","±35,405","±18,390","","±1,401","","±3,755","±1,366","±4,161","±8,419","N","±1,828","±2,894","±4,565","±3,664"
"Blount County School District, Tennessee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","40,293","29,557","28,431","4,991","6,440","15,831","1,119","2,415","483","11,598","4,925","","26,842","6,025","9,183","6,797","2,617","1,908","312","","97,699","","87,796","873","31","229","60","1,362","7,348","N","N"
"        Margin of Error","","±1,628","±1,676","±1,753","±1,175","±1,012","±1,305","±459","±851","±327","±1,213","±1,177","","±1,752","±1,010","±1,527","±1,324","±959","±828","±250","","±1,854","","±1,843","±624","±59","±289","±92","±1,078","±1,404","N","N"
